Event,Record,Country,Continent,URL,id,latitude,longitude,genero,Alpha-2 code,Alpha-3 code,Numeric,Athlete,Records
100 m,11.11,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Masoud Azizi,11.11
200 m,22.31,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Said Gilani,22.31
400 m,49,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Habib Zareef,49
800 m,01:53.6,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Wais Ibrahim Khairandesh,113.6
1500 m,04:02.0,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Nesrulaha,242
3000 m,08:52.6,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Aman Haidari,532.6
5000 m,15:52.7,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Aman Haidari,952.7
10000 m,33:25.6,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Nouruddin,2005.6
Half marathon,1:13:16,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Mohammad Karim Yaqoot,4396
Marathon,2:28:46,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Waheed Karim,8926
110 m hurdles,15.45,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Said Gilani,15.45
400 m hurdles,54.19,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Said Gilani,54.19
3000 m steeplechase,10:52.5,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Noor Ahmad Zoori,652.5
High jump,1.9,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Abdoul Skour,1.9
Pole vault,3.72,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Said Gilani,3.72
Long jump,7.05,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Mohammed Anwar,7.05
Triple jump,12.99,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Mohammed Anwar,12.99
Shot put,14.9,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Noorullah Osmani,14.9
Discus throw,39.9,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Abdoul Hakim,39.9
Hammer throw,17.44,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Najibullah Najm,17.44
Javelin throw,49.59,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Said Gilani,49.59
4 × 100 m relay,43.11,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Nombres no disponibles,43.11
4 × 400 m relay,03:20.8,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Male,AF,AFG,4,Z. Wahab,
100 m,13.33,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4,Kamia Yousufi,13.33
200 m,30.39,Afghanistan,Asia,https://en.wikipedia.org/wiki/List_of_Afghan_records_in_athletics,AF,33.93911,67.709953,Female,AF,AFG,4,Kamia Yousufi,30.39
