fecha,nivel_promedio
2026-06-15,86.6324
2026-06-16,86.5132
2026-06-17,86.3899
2026-06-18,86.2656
2026-06-19,86.1388
2026-06-20,86.0099
2026-06-21,85.8803
2026-06-22,85.7580
2026-06-23,85.6361
2026-06-24,85.5134
2026-06-25,85.3894
2026-06-26,85.2545
2026-06-27,85.1310
2026-06-28,85.0289
2026-06-29,84.9075
2026-06-30,84.8652
2026-07-01,84.7741
2026-07-02,84.6485
2026-07-03,84.5115
2026-07-04,84.3842
2026-07-05,84.2483
2026-07-06,84.0967
2026-07-07,84.0027
2026-07-08,84.3749
2026-07-09,84.5308
2026-07-10,84.4698
2026-07-11,84.3435
2026-07-12,84.1949
2026-07-13,84.0383
2026-07-14,83.8758
2026-07-15,83.7071
2026-07-16,83.5427
2026-07-17,83.3782
2026-07-18,83.2050
2026-07-19,83.0278
2026-07-20,82.8409
2026-07-21,82.6677
2026-07-22,82.5279
2026-07-23,82.4315
2026-07-24,82.3312
2026-07-25,82.1605
2026-07-26,81.9907
2026-07-27,81.7938
2026-07-28,81.5916
2026-07-29,81.3854
2026-07-30,81.1788
2026-07-31,80.9757
2026-08-01,80.7898
2026-08-02,80.6357
2026-08-03,80.4954
2026-08-04,80.3330
2026-08-05,80.3045
2026-08-06,80.2341
2026-08-07,80.1212
2026-08-08,80.0105
2026-08-09,79.8973
2026-08-10,79.7829
2026-08-11,79.6956
2026-08-12,80.0328
2026-08-13,80.4973
2026-08-14,80.5956
2026-08-15,80.5703
2026-08-16,80.4930
2026-08-17,80.3581
2026-08-18,80.2173
2026-08-19,80.0762
2026-08-20,79.9662
2026-08-21,79.8370
2026-08-22,79.7202
2026-08-23,79.6009
2026-08-24,79.4815
2026-08-25,79.4423
2026-08-26,79.3820
2026-08-27,79.2833
2026-08-28,79.1643
2026-08-29,79.0317
2026-08-30,78.9330
2026-08-31,79.0694
2026-09-01,80.9570
2026-09-02,82.9484
2026-09-03,83.2635
2026-09-04,83.2205
2026-09-05,83.0734
2026-09-06,82.9224
2026-09-07,82.7642
2026-09-08,82.8330
2026-09-09,83.1458
2026-09-10,83.3051
2026-09-11,83.5187
2026-09-12,83.4760
2026-09-13,83.3896
2026-09-14,83.4332
2026-09-15,83.6035
2026-09-16,83.6018
2026-09-17,85.4537
2026-09-18,86.6735
2026-09-19,86.9514
2026-09-20,86.9531
